City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions,Date
173,Jieshi,CN,22.8134,115.8257,55.99,49,61,3.0,broken clouds,2021-01-17 16:29:27
174,Conceicao Do Araguaia,BR,-8.2578,-49.2647,84.92,74,16,3.33,moderate rain,2021-01-17 16:29:27
175,Port Blair,IN,11.6667,92.75,79.56,77,66,16.82,broken clouds,2021-01-17 16:29:28
176,Sao Desiderio,BR,-12.3633,-44.9733,82.74,67,97,6.49,overcast clouds,2021-01-17 16:29:28
177,Lagoa,PT,39.05,-27.9833,61.47,91,100,30.69,light rain,2021-01-17 16:29:28
178,Tiarei,PF,-17.5333,-149.3333,77.0,83,75,2.3,light rain,2021-01-17 16:29:28
179,Bauchi,NG,10.5,10.0,90.73,12,0,5.93,clear sky,2021-01-17 16:29:28
180,Conde,BR,-7.2597,-34.9075,87.8,55,40,17.27,scattered clouds,2021-01-17 16:29:28
181,Ayagoz,KZ,47.9714,80.4392,8.76,85,87,5.59,overcast clouds,2021-01-17 16:29:28
182,Grong,NO,64.4654,12.3149,14.0,85,0,19.57,clear sky,2021-01-17 16:29:28
183,Talaya,RU,61.3833,152.75,-31.31,80,100,7.02,overcast clouds,2021-01-17 16:29:28
184,Shelburne,CA,44.0787,-80.2041,33.01,88,62,14.56,broken clouds,2021-01-17 16:29:28
185,Porto Velho,BR,-8.7619,-63.9039,86.0,74,40,6.91,scattered clouds,2021-01-17 16:29:28
186,Severo-Kurilsk,RU,50.6789,156.125,24.35,90,94,41.23,overcast clouds,2021-01-17 16:29:28
187,Gwembe,ZM,-16.4975,27.6069,71.6,94,100,5.93,moderate rain,2021-01-17 16:29:28
188,San Quintin,MX,30.4833,-115.95,64.94,43,0,0.38,clear sky,2021-01-17 16:29:29
189,Port Elizabeth,ZA,-33.918,25.5701,73.4,68,75,9.22,broken clouds,2021-01-17 16:29:29
190,Navrongo,GH,10.8956,-1.0921,97.03,8,26,10.65,scattered clouds,2021-01-17 16:29:29
191,Tilichiki,RU,60.4667,166.1,-17.73,85,100,14.41,overcast clouds,2021-01-17 16:29:29
192,Porto Novo,BJ,6.4965,2.6036,86.0,74,20,11.5,few clouds,2021-01-17 16:29:29
193,Kavieng,PG,-2.5744,150.7967,83.03,75,78,17.34,broken clouds,2021-01-17 16:29:29
194,Bambanglipuro,ID,-7.95,110.2833,77.56,83,99,5.35,light rain,2021-01-17 16:29:29
195,Luwuk,ID,-0.9516,122.7875,77.81,79,100,3.2,light rain,2021-01-17 16:29:29
196,Umm Kaddadah,SD,13.6017,26.6876,77.04,15,7,10.69,clear sky,2021-01-17 16:29:29
197,Ilulissat,GL,69.2167,-51.1,23.0,50,75,12.66,broken clouds,2021-01-17 16:29:30
198,Quesnel,CA,52.9999,-122.5029,32.0,80,90,6.91,overcast clouds,2021-01-17 16:29:30
199,Hoganas,SE,56.1997,12.558,30.99,1,100,5.01,overcast clouds,2021-01-17 16:29:30
200,Tulsipur,NP,28.131,82.2973,57.99,81,2,1.01,clear sky,2021-01-17 16:29:30
201,Bathsheba,BB,13.2167,-59.5167,84.2,65,40,23.02,scattered clouds,2021-01-17 16:29:30
202,Asau,RO,46.4333,26.4,17.6,86,75,2.3,broken clouds,2021-01-17 16:29:30
203,Nileshwar,IN,12.25,75.1,80.8,76,53,2.53,broken clouds,2021-01-17 16:28:05
204,Jumla,NP,29.2747,82.1838,42.62,59,0,3.13,clear sky,2021-01-17 16:29:31
205,Mount Pleasant,US,32.7941,-79.8626,50.0,43,1,12.66,clear sky,2021-01-17 16:29:31
206,Bonavista,CA,48.6499,-53.1147,34.0,100,100,5.75,overcast clouds,2021-01-17 16:29:31
207,Muros,ES,42.7762,-9.0603,57.99,76,67,5.57,broken clouds,2021-01-17 16:29:31
208,Naze,JP,28.3667,129.4833,51.48,82,94,14.54,overcast clouds,2021-01-17 16:29:31
209,Palmer,US,42.1584,-72.3287,41.0,52,40,18.41,scattered clouds,2021-01-17 16:29:31
210,Ostrovnoy,RU,68.0531,39.5131,19.65,95,100,7.16,overcast clouds,2021-01-17 16:29:31
211,Leshan,CN,29.5623,103.7639,41.61,67,58,2.66,broken clouds,2021-01-17 16:29:31
212,Sinnamary,GF,5.3833,-52.95,82.69,71,79,12.12,broken clouds,2021-01-17 16:29:32
213,Nhulunbuy,AU,-12.2333,136.7667,82.4,83,75,6.91,broken clouds,2021-01-17 16:29:32
214,Odesskoye,RU,54.2111,72.9651,19.81,93,99,18.5,overcast clouds,2021-01-17 16:29:32
215,Aksarka,RU,66.5606,67.7975,-15.56,86,100,19.89,overcast clouds,2021-01-17 16:29:32
216,Verkhnyaya Inta,RU,65.9811,60.3094,-25.83,86,100,7.09,overcast clouds,2021-01-17 16:29:32
217,Matagami,CA,49.7502,-77.6328,12.2,85,90,21.85,light snow,2021-01-17 16:29:32
218,Te Anau,NZ,-45.4167,167.7167,43.38,82,64,5.39,broken clouds,2021-01-17 16:29:32
219,Hurghada,EG,27.2574,33.8129,73.4,16,0,14.97,clear sky,2021-01-17 16:28:34
220,Cuamba,MZ,-14.8031,36.5372,77.07,85,99,1.66,light rain,2021-01-17 16:29:32
221,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,83.5,64,8,12.91,clear sky,2021-01-17 16:29:32
222,Krasnovka,RU,48.8177,40.0923,10.99,95,100,10.18,heavy snow,2021-01-17 16:29:32
223,Estelle,US,29.8458,-90.1067,55.99,58,75,5.75,broken clouds,2021-01-17 16:29:32
224,Kiruna,SE,67.8557,20.2251,8.6,85,99,8.05,overcast clouds,2021-01-17 16:29:32
225,Aguimes,ES,27.9054,-15.4461,66.2,59,40,10.36,scattered clouds,2021-01-17 16:29:33
226,Vrangel,RU,42.7297,133.0839,11.62,83,6,6.71,clear sky,2021-01-17 16:29:33
227,Sawtell,AU,-30.3833,153.1,68.0,88,75,4.03,broken clouds,2021-01-17 16:29:33
228,Norman Wells,CA,65.282,-126.8329,-18.4,76,20,2.3,few clouds,2021-01-17 16:29:33
229,Sitka,US,57.0531,-135.33,44.6,76,90,13.8,light rain,2021-01-17 16:29:33
230,Coahuayana,MX,18.7333,-103.6833,75.2,53,40,1.79,scattered clouds,2021-01-17 16:29:33
231,Kieta,PG,-6.2167,155.6333,79.47,78,82,1.77,light rain,2021-01-17 16:29:33
232,Monte Alegre,BR,-2.0078,-54.0692,91.56,44,30,2.95,scattered clouds,2021-01-17 16:29:33
233,Esperance,AU,-33.8667,121.9,59.0,77,0,12.66,clear sky,2021-01-17 16:29:33
234,Tupa,BR,-21.9347,-50.5136,71.13,93,100,8.34,overcast clouds,2021-01-17 16:29:33
235,Taltal,CL,-25.4,-70.4833,69.89,60,0,6.62,clear sky,2021-01-17 16:29:33
236,Dire,ML,12.2833,-10.9667,97.16,8,0,6.46,clear sky,2021-01-17 16:29:33
237,Broken Hill,AU,-31.95,141.4333,66.2,45,88,14.97,overcast clouds,2021-01-17 16:28:06
