City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Portland,US,2021-01-17 02:57:52,45.5234,-122.6762,45.0,89,100,0.94
203,Bambous Virieux,MU,2021-01-17 03:02:09,-20.3428,57.7575,81.0,83,40,8.05
204,Road Town,VG,2021-01-17 02:58:07,18.4167,-64.6167,75.99,86,17,10.0
205,Manggar,ID,2021-01-17 03:02:09,-2.8833,108.2667,79.63,84,100,13.71
206,Chhatak,BD,2021-01-17 03:01:27,25.0333,91.6667,66.06,59,88,4.14
207,Cockburn Town,TC,2021-01-17 03:02:09,21.4612,-71.1419,78.24,73,100,6.17
208,Srednekolymsk,RU,2021-01-17 03:02:09,67.45,153.6833,-38.13,80,32,3.15
209,Zeya,RU,2021-01-17 03:02:09,53.75,127.2667,-14.75,81,100,2.59
210,Alofi,NU,2021-01-17 03:02:10,-19.0595,-169.9187,86.0,62,100,6.91
211,Cherskiy,RU,2021-01-17 03:02:10,68.75,161.3,-21.71,87,100,3.13
212,Kodiak,US,2021-01-17 03:02:10,57.79,-152.4072,37.4,100,90,7.23
213,Abu Kamal,SY,2021-01-17 03:02:10,34.4506,40.9171,50.85,63,0,8.12
214,Sitka,US,2021-01-17 03:02:10,57.0531,-135.33,44.6,76,90,20.71
215,Hamilton,US,2021-01-17 02:58:02,39.1834,-84.5333,35.01,86,90,10.36
216,Eskisehir,TR,2021-01-17 03:02:10,39.7767,30.5206,28.4,86,75,11.5
217,Bavly,RU,2021-01-17 03:02:11,54.393,53.2602,10.13,94,100,17.45
218,Lahij,YE,2021-01-17 03:02:11,13.1667,44.5833,66.31,75,0,1.68
219,Barrow,US,2021-01-17 03:02:11,71.2906,-156.7887,-0.4,78,90,19.57
220,Norman Wells,CA,2021-01-17 03:02:11,65.282,-126.8329,-13.0,84,20,2.3
221,Laguna,US,2021-01-17 03:02:11,38.421,-121.4238,60.01,67,1,3.44
222,Miyako,JP,2021-01-17 03:02:11,39.6367,141.9525,35.73,75,100,9.69
223,Los Llanos De Aridane,ES,2021-01-17 03:01:55,28.6585,-17.9182,62.6,59,90,9.22
224,Hualmay,PE,2021-01-17 03:02:11,-11.0964,-77.6139,70.5,84,100,5.75
225,Hofn,IS,2021-01-17 03:02:11,64.2539,-15.2082,40.62,70,100,15.68
226,Pustoshka,RU,2021-01-17 03:02:12,56.3355,29.369,-2.09,92,77,5.03
227,Talcahuano,CL,2021-01-17 03:02:12,-36.7167,-73.1167,60.8,67,0,12.66
228,Champerico,GT,2021-01-17 03:02:12,14.3,-91.9167,64.0,95,5,1.86
229,Vila,PT,2021-01-17 03:02:12,42.0304,-8.1588,46.99,93,0,5.75
230,Buchanan,LR,2021-01-17 03:02:12,5.8808,-10.0467,75.2,94,20,4.68
231,Yakuplu,TR,2021-01-17 02:58:33,40.9889,28.6758,37.99,86,75,19.57
232,Port Lincoln,AU,2021-01-17 03:02:13,-34.7333,135.8667,65.75,64,94,12.39
233,Copiapo,CL,2021-01-17 03:00:25,-27.3667,-70.3333,59.0,82,1,3.44
234,Marzuq,YE,2021-01-17 03:02:13,14.4,46.4667,53.82,54,0,1.19
235,Sindor,RU,2021-01-17 03:02:13,62.8629,51.8905,-12.96,90,100,6.26
236,Nizwa,OM,2021-01-17 03:02:13,22.9333,57.5333,51.35,67,0,0.56
237,Oistins,BB,2021-01-17 03:02:13,13.0667,-59.5333,78.8,69,40,17.27
238,Rosario Do Sul,BR,2021-01-17 03:02:13,-30.2583,-54.9142,73.71,92,99,5.86
239,Paita,PE,2021-01-17 03:02:15,-5.0892,-81.1144,71.44,83,100,9.4
240,Kristiansund,NO,2021-01-17 03:02:15,63.1115,7.732,28.4,59,0,5.75
241,Bonthe,SL,2021-01-17 03:02:15,7.5264,-12.505,76.42,89,77,2.93
242,Kars,TR,2021-01-17 02:59:01,40.602,43.095,28.4,74,75,6.91
243,Yeppoon,AU,2021-01-17 03:02:15,-23.1333,150.7333,89.6,43,100,9.22
244,La Palma,US,2021-01-17 03:02:15,33.8464,-118.0467,64.4,41,1,0.51
245,Muros,ES,2021-01-17 03:02:15,42.7762,-9.0603,48.99,93,25,3.33
246,Gwadar,PK,2021-01-17 03:02:15,25.1216,62.3254,64.42,58,0,3.91
247,Springdale,US,2021-01-17 02:58:54,36.1867,-94.1288,35.6,64,1,3.44
248,Thabazimbi,ZA,2021-01-17 03:02:16,-24.5917,27.4116,69.01,96,93,2.71
249,Codrington,AU,2021-01-17 03:02:16,-38.2667,141.9667,62.76,55,29,13.31
250,Tadine,NC,2021-01-17 03:02:16,-21.55,167.8833,80.35,87,100,9.31
251,Auki,SB,2021-01-17 03:02:16,-8.7676,160.7034,87.39,63,96,2.01
252,Barra Patuca,HN,2021-01-17 03:02:16,15.8,-84.2833,76.48,86,66,5.84
253,Sobolevo,RU,2021-01-17 03:02:16,54.4299,31.8996,-2.06,92,100,6.2
254,Buraydah,SA,2021-01-17 03:00:18,26.326,43.975,51.8,93,0,6.91
255,Machinga,MW,2021-01-17 03:02:16,-15.1685,35.3,70.34,91,100,1.28
256,Khatanga,RU,2021-01-17 03:02:17,71.9667,102.5,-25.56,85,0,8.32
257,Fort Nelson,CA,2021-01-17 03:02:17,58.8053,-122.7002,15.8,92,75,1.21
258,Marovoay,MG,2021-01-17 03:02:17,-16.1,46.6333,77.0,88,20,4.61
259,Fairbanks,US,2021-01-17 02:58:28,64.8378,-147.7164,-4.0,77,1,3.78
260,Upata,VE,2021-01-17 03:02:17,8.0086,-62.3989,77.0,88,3,4.0
261,Sur,OM,2021-01-17 03:02:17,22.5667,59.5289,64.36,64,0,2.89
262,Gushikawa,JP,2021-01-17 03:02:17,26.3544,127.8686,60.8,67,90,16.11
263,Cranbrook,CA,2021-01-17 02:58:59,49.4999,-115.7688,26.6,80,75,2.86
264,Vila Velha,BR,2021-01-17 03:02:17,-20.3297,-40.2925,77.0,78,0,4.61
265,Nome,US,2021-01-17 02:58:36,64.5011,-165.4064,8.6,72,40,6.91
